name,date,socket,category,speed,turbo,cpuCount,cores,logicals,l1_cache,l2_cache,l3_cache
AMD A4-3310MX APU,2011-10-01,FS1,Laptop,2100.0,2300.0,1,2,1,64.0,2048.0,0.0
AMD A4-3320M APU,2012-03-01,FS1,Laptop,2000.0,2600.0,1,2,1,64.0,2048.0,0.0
AMD A4-3330MX APU,2013-03-01,FS1 uPGA,Laptop,2200.0,2600.0,1,2,1,64.0,2048.0,0.0
AMD A4-3400 APU,2011-09-01,FM1,Desktop,2700.0,0.0,1,2,1,64.0,2048.0,0.0
AMD A4-3420 APU,2012-01-01,FM1,Desktop,2800.0,0.0,1,2,1,64.0,2048.0,0.0
AMD A4-4000 APU,2013-05-01,FM2,Desktop,3000.0,3200.0,1,1,2,64.0,2048.0,0.0
AMD A4-4020 APU,2014-07-01,FM2,Desktop,3200.0,3400.0,1,2,1,64.0,2048.0,0.0
AMD A4-4300M APU,2012-05-01,FS1,Laptop,2500.0,3000.0,1,1,2,64.0,2048.0,0.0
AMD A4-4355M APU,2012-12-01,FP2,Laptop,1900.0,2400.0,1,2,1,64.0,2048.0,0.0
AMD A4-5000 APU,2013-08-01,FT3,Laptop,1500.0,0.0,1,4,1,64.0,2048.0,0.0
AMD A4-5050 APU,2017-05-01,FT3,Laptop,1550.0,0.0,1,4,1,64.0,2048.0,0.0
AMD A4-5100 APU,2015-07-01,FT3,Laptop,1550.0,0.0,1,4,1,64.0,2048.0,0.0
AMD A4-5150M APU,2013-07-01,FS1r2,Laptop,2700.0,3300.0,1,2,1,64.0,2048.0,0.0
AMD A4-5300 APU,2012-10-01,FM2,Desktop,3400.0,3700.0,1,2,1,64.0,2048.0,0.0
AMD A4-5300B APU,2012-12-01,FM2,Desktop,3400.0,3700.0,1,2,1,64.0,2048.0,0.0
AMD A4-6210 APU,2014-07-01,FT3b,Laptop,1800.0,0.0,1,4,1,64.0,2048.0,0.0
AMD A4-6250J APU,2014-12-01,Unknown,Unknown,2000.0,0.0,1,4,1,64.0,2048.0,0.0
AMD A4-6300 APU,2013-11-01,FM2,Desktop,3700.0,3900.0,1,1,2,64.0,2048.0,0.0
AMD A4-6300B APU,2013-12-01,Unknown,Desktop,3700.0,3900.0,1,1,2,64.0,2048.0,0.0
