name,price,tdp,date,socket,category,speed,turbo,cpuCount,cores,logicals,rank,samples,l1_cache,l2_cache,l3_cache
AMD A12-9800,101.99,65.0,2016-10-01,AM4,Desktop,3800.0,4200.0,1,2,2,1622,141,64.0,2048.0,0.0
AMD A12-9800E,670.15,35.0,2017-09-01,AM4,Desktop,3100.0,3800.0,1,4,1,1640,25,64.0,2048.0,0.0
AMD A4 Micro-6400T APU,0.0,4.5,2014-11-01,FT3b,Laptop,1000.0,1600.0,1,4,1,2977,19,64.0,2048.0,0.0
AMD A4 PRO-3340B,0.0,25.0,2015-11-01,BGA769 (FT3),Laptop,2200.0,0.0,1,4,1,2474,7,64.0,2048.0,0.0
AMD A4 PRO-7300B APU,0.0,65.0,2014-12-01,Unknown,Desktop,3800.0,4000.0,1,1,2,2589,26,64.0,2048.0,0.0
AMD A4 PRO-7350B,0.0,65.0,2014-12-01,FM2+,Desktop,3400.0,3800.0,1,1,2,2544,4,64.0,2048.0,0.0
AMD A4-1200 APU,0.0,3.9,2013-10-01,FT3,Laptop,1000.0,0.0,1,2,1,3640,104,64.0,2048.0,0.0
AMD A4-1250 APU,0.0,8.0,2013-07-01,FT3,Laptop,1000.0,0.0,1,2,1,3580,109,64.0,2048.0,0.0
AMD A4-3300 APU,56.61,65.0,2011-11-01,FM1,Desktop,2500.0,0.0,1,2,1,3030,199,64.0,2048.0,0.0
AMD A4-3300M APU,29.99,65.0,2011-07-01,FM1,Laptop,1900.0,2500.0,1,2,1,3286,265,64.0,2048.0,0.0
AMD A4-3305M APU,20.81,35.0,2012-02-01,FS1,Laptop,1900.0,2500.0,1,2,1,3263,208,64.0,2048.0,0.0
AMD A4-3310MX APU,0.0,45.0,2011-10-01,FS1,Laptop,2100.0,2300.0,1,2,1,3209,49,64.0,2048.0,0.0
AMD A4-3320M APU,39.0,35.0,2012-03-01,FS1,Laptop,2000.0,2600.0,1,2,1,3350,36,64.0,2048.0,0.0
AMD A4-3330MX APU,0.0,45.0,2013-03-01,FS1 uPGA,Laptop,2200.0,2600.0,1,2,1,3228,35,64.0,2048.0,0.0
AMD A4-3400 APU,20.0,65.0,2011-09-01,FM1,Desktop,2700.0,0.0,1,2,1,2908,297,64.0,2048.0,0.0
AMD A4-3420 APU,136.0,65.0,2012-01-01,FM1,Desktop,2800.0,0.0,1,2,1,2903,107,64.0,2048.0,0.0
AMD A4-4000 APU,19.91,65.0,2013-05-01,FM2,Desktop,3000.0,3200.0,1,1,2,2822,278,64.0,2048.0,0.0
AMD A4-4020 APU,105.37,65.0,2014-07-01,FM2,Desktop,3200.0,3400.0,1,2,1,2769,45,64.0,2048.0,0.0
AMD A4-4300M APU,29.86,35.0,2012-05-01,FS1,Laptop,2500.0,3000.0,1,1,2,2985,200,64.0,2048.0,0.0
AMD A4-4355M APU,0.0,17.0,2012-12-01,FP2,Laptop,1900.0,2400.0,1,2,1,3158,65,64.0,2048.0,0.0
AMD A4-5000 APU,0.0,15.0,2013-08-01,FT3,Laptop,1500.0,0.0,1,4,1,2719,899,64.0,2048.0,0.0
AMD A4-5050 APU,0.0,13.5,2017-05-01,FT3,Laptop,1550.0,0.0,1,4,1,2690,18,64.0,2048.0,0.0
AMD A4-5100 APU,0.0,15.0,2015-07-01,FT3,Laptop,1550.0,0.0,1,4,1,2679,14,64.0,2048.0,0.0
AMD A4-5150M APU,0.0,35.0,2013-07-01,FS1r2,Laptop,2700.0,3300.0,1,2,1,3215,26,64.0,2048.0,0.0
AMD A4-5300 APU,26.95,65.0,2012-10-01,FM2,Desktop,3400.0,3700.0,1,2,1,2667,510,64.0,2048.0,0.0
AMD A4-5300B APU,25.95,65.0,2012-12-01,FM2,Desktop,3400.0,3700.0,1,2,1,2761,97,64.0,2048.0,0.0
AMD A4-6210 APU,0.0,15.0,2014-07-01,FT3b,Laptop,1800.0,0.0,1,4,1,2584,378,64.0,2048.0,0.0
